danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.751,0.912,-1.822,0.0391,0.0247,0.0,0.0778,0.804,108.002,205000
0.751,0.912,-1.822,0.0391,0.0247,0.0,0.0778,0.804,108.002,205000
0.923,0.688,-3.904,0.252,0.31,0.0,0.0866,0.796,93.931,256400
0.923,0.688,-3.904,0.252,0.31,0.0,0.0866,0.796,93.931,256400
0.759,0.866,-3.084,0.26,0.18,0.0,0.939,0.565,155.945,285800
0.759,0.866,-3.084,0.26,0.18,0.0,0.939,0.565,155.945,285800
0.694,0.895,-3.258,0.335,0.269,4.17e-06,0.4,0.779,167.974,298600
0.694,0.895,-3.258,0.335,0.269,4.17e-06,0.4,0.779,167.974,298600
0.513,0.671,-5.497,0.0358,0.0765,0.0,0.0925,0.374,141.901,272900
0.513,0.671,-5.497,0.0358,0.0765,0.0,0.0925,0.374,141.901,272900
0.794,0.698,-5.613,0.138,0.116,0.0,0.112,0.495,130.0,387933
0.794,0.698,-5.613,0.138,0.116,0.0,0.112,0.495,130.0,387933
0.727,0.84,-4.293,0.0964,0.114,0.0,0.0621,0.807,102.993,193227
0.727,0.84,-4.293,0.0964,0.114,0.0,0.0621,0.807,102.993,193227
0.349,0.44,-6.3,0.0316,0.273,0.0,0.327,0.117,149.795,290960
0.349,0.44,-6.3,0.0316,0.273,0.0,0.327,0.117,149.795,290960
0.884,0.749,-6.045,0.033,0.284,0.0,0.102,0.96,119.978,184161
0.884,0.749,-6.045,0.033,0.284,0.0,0.102,0.96,119.978,184161
0.366,0.483,-6.602,0.0349,0.495,0.0,0.0881,0.192,122.09,253933
0.366,0.483,-6.602,0.0349,0.495,0.0,0.0881,0.192,122.09,253933
0.487,0.741,-4.527,0.0355,0.183,0.0,0.231,0.349,82.036,211520
0.487,0.741,-4.527,0.0355,0.183,0.0,0.231,0.349,82.036,211520
0.507,0.668,-5.5,0.0367,0.0756,0.0,0.0844,0.354,141.926,272833
0.507,0.668,-5.5,0.0367,0.0756,0.0,0.0844,0.354,141.926,272833
0.55,0.959,-3.048,0.371,0.196,0.0,0.588,0.696,170.221,264907
0.55,0.959,-3.048,0.371,0.196,0.0,0.588,0.696,170.221,264907
0.526,0.195,-11.181,0.0298,0.869,0.0,0.131,0.112,130.21,284186
0.526,0.195,-11.181,0.0298,0.869,0.0,0.131,0.112,130.21,284186
0.764,0.805,-3.024,0.399,0.211,0.0,0.137,0.787,95.316,234293
0.764,0.805,-3.024,0.399,0.211,0.0,0.137,0.787,95.316,234293
0.812,0.818,-6.814,0.0512,0.0298,0.707,0.603,0.965,119.972,308387
0.812,0.818,-6.814,0.0512,0.0298,0.707,0.603,0.965,119.972,308387
0.761,0.947,-4.47,0.0634,0.0824,0.0,0.0829,0.822,111.991,228000
0.761,0.947,-4.47,0.0634,0.0824,0.0,0.0829,0.822,111.991,228000
0.77,0.966,-2.06,0.293,0.317,0.0,0.291,0.51,144.396,330307
0.77,0.966,-2.06,0.293,0.317,0.0,0.291,0.51,144.396,330307
0.757,0.853,-1.063,0.155,0.0145,0.0269,0.0552,0.676,93.009,212840
0.757,0.853,-1.063,0.155,0.0145,0.0269,0.0552,0.676,93.009,212840
0.566,0.443,-8.09,0.047,0.351,1.39e-06,0.103,0.184,137.934,270240
0.566,0.443,-8.09,0.047,0.351,1.39e-06,0.103,0.184,137.934,270240
0.702,0.918,-3.984,0.456,0.261,0.0,0.139,0.58,168.366,369800
0.702,0.918,-3.984,0.456,0.261,0.0,0.139,0.58,168.366,369800
0.448,0.378,-8.057,0.0321,0.361,0.0,0.111,0.206,129.708,262133
