artist_id,artist_name,popularity,followers
1oSPZhvZMIrWW5I41kPkkY,Jimin,82,7242614
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,88,12212539
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,64,93665
3JsHnjpbhX4SnySpvpa9DK,V,82,16650792
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,77,3989505
4ClziihVpBeFXNyDH83Lde,UMI,65,962644
6YVMFz59CuY7ngCxTxjpxE,aespa,76,4396819
3qNVuliS40BLgXGxhdBdqu,TAEYEON,67,2835507
6HvZYsbFfjnjFrWF950C9d,NewJeans,81,6810076
47mIJdHORyRerp4os813jD,League of Legends,78,1774108
2jOm3cYujQx6o1dxuiuqaX,RIIZE,63,382618
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,97858949
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,79,21980555
250b0Wlc5Vk0CoUsaCY84M,JENNIE,78,5084382
2uYWxilOVlUdk4oV9DvwqK,Mitski,83,6407924
