artist_id,artist_name,track_id,track_name,track_picture_url,release_date,track_popularity,genre
1oSPZhvZMIrWW5I41kPkkY,Jimin,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,https://i.scdn.co/image/ab67616d00001e022b46078245d0120690eb560d,2023-03-24,93,k-pop
"6HaGTQPmzraVmaVxvz6EUc, 3MdXrJWsbVzdn6fe5JYkSQ","Jung Kook, Latto",2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),https://i.scdn.co/image/ab67616d00001e02741fd4807f442af3f7359316,2023-11-03,90,k-pop
1oSPZhvZMIrWW5I41kPkkY,Jimin,0u8rZGtXJrLtiSe34FPjGG,Like Crazy (English Version),https://i.scdn.co/image/ab67616d00001e022b46078245d0120690eb560d,2023-03-24,84,k-pop
1oSPZhvZMIrWW5I41kPkkY,Jimin,59hBR0BCtJsfIbV9VzCVAp,Set Me Free Pt.2,https://i.scdn.co/image/ab67616d00001e024f4ec2c2a865569bd4a067a4,2023-03-17,81,k-pop
"6HaGTQPmzraVmaVxvz6EUc, 2LIk90788K0zvyj2JJVwkJ","Jung Kook, Jack Harlow",01qFKNWq73UfEslI0GvumE,3D (feat. Jack Harlow),https://i.scdn.co/image/ab67616d00001e0299583bb32b47e87d55c6064b,2023-10-02,86,k-pop
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,2KslE17cAJNHTsI2MI0jb2,Standing Next to You,https://i.scdn.co/image/ab67616d00001e02741fd4807f442af3f7359316,2023-11-03,97,k-pop
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,21ewxM3YvcdTj7cC0XwznO,Do or Die,https://i.scdn.co/image/ab67616d00001e02831b4a8eb3bd16788dca633a,2023-10-09,72,trot
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,4WUpMUjdoi47LY7gBQBXe3,Grain of Sand,https://i.scdn.co/image/ab67616d00001e02111a6e9b713b646443c5c222,2023-06-05,71,trot
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,6auT8cRBu3BgPRBrdVBY15,London Boy,https://i.scdn.co/image/ab67616d00001e022d2009b6cad53ddacad11334,2022-11-15,69,trot
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,74X2u8JMVooG2QbjRxXwR8,Perfect Night,https://i.scdn.co/image/ab67616d00001e025e352f6eccf8cb96d0b247cc,2023-10-27,90,k-pop girl group
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,2tA3NP12r4niSRhb9Y6AoY,Polaroid,https://i.scdn.co/image/ab67616d00001e022d2009b6cad53ddacad11334,2022-11-15,66,trot
75MOYjGEyyH5U4ZFHOPvxR,Lim Young Woong,2RLdkXSaiQjRbey5pvP8Kt,If We Ever Meet Again,https://i.scdn.co/image/ab67616d00001e028f116e476da669a9a3e7dcaa,2022-05-02,64,trot
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,2gkVEnpahpE3bQuvGuCpAV,Yes or No,https://i.scdn.co/image/ab67616d00001e02741fd4807f442af3f7359316,2023-11-03,88,k-pop
1oSPZhvZMIrWW5I41kPkkY,Jimin,3OdIiWnYRHPYtC313Z0Bwy,Face-off,https://i.scdn.co/image/ab67616d00001e022b46078245d0120690eb560d,2023-03-24,81,k-pop
1oSPZhvZMIrWW5I41kPkkY,Jimin,5Hfnps0jaWFpYg55WOPexG,Alone,https://i.scdn.co/image/ab67616d00001e022b46078245d0120690eb560d,2023-03-24,80,k-pop
3JsHnjpbhX4SnySpvpa9DK,V,2N0SPREDYqILVEFSsWF5N5,Love Me Again,https://i.scdn.co/image/ab67616d00001e022f1a5b69c2bd76474bca8035,2023-08-11,90,j-division
